taxid	count	resolved_rank	kingdom	phylum	class	order	family	genus	species
3389	14	species	Viridiplantae	Streptophyta	Gnetopsida	Ephedrales	Ephedraceae	Ephedra	Ephedra distachya
3390	2	species	Viridiplantae	Streptophyta	Gnetopsida	Ephedrales	Ephedraceae	Ephedra	Ephedra tweediana
3391	2	species	Viridiplantae	Streptophyta	Gnetopsida	Ephedrales	Ephedraceae	Ephedra	Ephedra altissima
3396	26	species	Viridiplantae	Streptophyta	Cycadopsida	Cycadales	Cycadaceae	Cycas	Cycas revoluta
3397	29	species	Viridiplantae	Streptophyta	Cycadopsida	Cycadales	Cycadaceae	Cycas	Cycas circinalis
3407	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Magnoliales	Magnoliaceae	Magnolia	Magnolia x soulangeana
3412	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Magnoliales	Magnoliaceae	Magnolia	Magnolia virginiana
3415	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Magnoliales	Magnoliaceae	Liriodendron	Liriodendron tulipifera
3419	5	species	Viridiplantae	Streptophyta	Magnoliopsida	Canellales	Winteraceae	Drimys	Drimys winteri
3420	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Canellales	Winteraceae	Tasmannia	Tasmannia lanceolata
3422	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Canellales	Winteraceae	Tasmannia	Tasmannia insipida
3423	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Canellales	Winteraceae	Tasmannia	Tasmannia purpurascens
3426	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Canellales	Canellaceae	Canella	Canella winterana
3429	19	species	Viridiplantae	Streptophyta	Magnoliopsida	Laurales	Calycanthaceae	Calycanthus	Calycanthus floridus
3430	11	species	Viridiplantae	Streptophyta	Magnoliopsida	Laurales	Calycanthaceae	Calycanthus	Calycanthus occidentalis
3431	7	species	Viridiplantae	Streptophyta	Magnoliopsida	Laurales	Calycanthaceae	Calycanthus	Calycanthus chinensis
3435	6	species	Viridiplantae	Streptophyta	Magnoliopsida	Laurales	Lauraceae	Persea	Persea americana
3436	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Laurales	Lauraceae	Persea	Persea borbonia
3438	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Laurales	Lauraceae	Umbellularia	Umbellularia californica
3442	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Coptis	Coptis japonica
3444	9	species	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Nigella	Nigella damascena
3447	14	species	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculus	Ranunculus acris
3449	17	species	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Caltha	Caltha palustris
3451	10	species	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Aquilegia	Aquilegia vulgaris
3453	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Clematis	Clematis rehderiana
3454	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Clematis	Clematis ligusticifolia
3457	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Menispermaceae	Dioscoreophyllum	Dioscoreophyllum cumminsii
3460	7	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Coriariaceae	Coriaria	Coriaria myrtifolia
3464	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Papaveraceae	Capnoides	Capnoides sempervirens
3467	5	species	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Papaveraceae	Eschscholzia	Eschscholzia californica
3469	21	species	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Papaveraceae	Papaver	Papaver somniferum
3472	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Papaveraceae	Sanguinaria	Sanguinaria canadensis
3476	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Cannabaceae	Parasponia	Parasponia andersonii
3477	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Cannabaceae	Parasponia	Parasponia rigida
3480	7	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Cannabaceae	Trema	Trema tomentosum
3483	57	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Cannabaceae	Cannabis	Cannabis sativa
3485	5	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Cannabaceae	Humulus	Humulus japonicus
3486	28	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Cannabaceae	Humulus	Humulus lupulus
3489	24	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Moraceae	Artocarpus	Artocarpus heterophyllus
3490	18	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Moraceae	Artocarpus	Artocarpus integer
3492	9	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Moraceae	Artocarpus	Artocarpus tonkinensis
3494	83	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Moraceae	Ficus	Ficus carica
3496	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Moraceae	Maclura	Maclura pomifera
3498	161	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Moraceae	Morus	Morus alba
3501	38	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Urticaceae	Urtica	Urtica dioica
3505	39	species	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Betulaceae	Betula	Betula pendula
3507	9	species	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Betulaceae	Betula	Betula papyrifera
3508	9	species	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Betulaceae	Betula	Betula nigra
3510	5	species	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Myricaceae	Morella	Morella cerifera
3512	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus rubra
3513	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus alba
3516	9	species	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	Alnus incana
3517	29	species	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	Alnus glutinosa
3518	1	subspecies	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	Alnus alnobetula
3523	7	species	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Casuarinaceae	Casuarina	Casuarina equisetifolia
3527	43	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Phytolaccaceae	Phytolacca	Phytolacca americana
3528	16	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Phytolaccaceae	Phytolacca	Phytolacca acinosa
3530	51	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Gisekiaceae	Gisekia	Gisekia pharnaceoides
3533	12	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Petiveriaceae	Rivina	Rivina humilis
3535	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Stegnospermataceae	Stegnosperma	Stegnosperma halimifolium
3538	24	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Mirabilis	Mirabilis jalapa
3541	19	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea glabra
3544	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Aizoaceae	Mesembryanthemum	Mesembryanthemum crystallinum
3548	11	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Aizoaceae	Trianthema	Trianthema portulacastrum
3551	10	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Atriplex	Atriplex patula
3552	5	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Atriplex	Atriplex rosea
