taxid	count	resolved_rank	kingdom	phylum	class	order	family	genus	species
3498	38	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Moraceae	Morus	Morus alba
3505	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Betulaceae	Betula	Betula pendula
3512	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus rubra
3516	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	Alnus incana
3517	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	Alnus glutinosa
3518	1	subspecies	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	Alnus alnobetula
3523	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Casuarinaceae	Casuarina	Casuarina equisetifolia
3527	33	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Phytolaccaceae	Phytolacca	Phytolacca americana
3528	14	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Phytolaccaceae	Phytolacca	Phytolacca acinosa
3538	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Mirabilis	Mirabilis jalapa
3541	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea glabra
3552	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Atriplex	Atriplex rosea
3559	7	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Chenopodium	Chenopodium album
3562	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Spinacia	Spinacia oleracea
3589	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Basellaceae	Basella	Basella alba
3617	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Fagopyrum	Fagopyrum esculentum
3619	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Rumex	Rumex obtusifolius
3625	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia chinensis
3627	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia deliciosa
3631	12	species	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Abutilon	Abutilon theophrasti
3649	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Caricaceae	Carica	Carica papaya
3654	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Citrullus	Citrullus lanatus
3656	5	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucumis	Cucumis melo
3661	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucurbita	Cucurbita maxima
3662	9	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucurbita	Cucurbita moschata
3663	8	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucurbita	Cucurbita pepo
3668	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Lagenaria	Lagenaria siceraria
3670	9	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Luffa	Luffa aegyptiaca
3673	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Momordica	Momordica charantia
3674	8	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Momordica	Momordica cochinchinensis
3677	35	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Trichosanthes	Trichosanthes kirilowii
3679	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Ecballium	Ecballium elaterium
3685	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Passifloraceae	Passiflora	Passiflora quadrangularis
3702	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis	Arabidopsis thaliana
3704	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Armoracia	Armoracia rusticana
3707	11	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica juncea
3710	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica nigra
3711	56	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica rapa
3712	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica oleracea
3713	3	varietas	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica oleracea
3716	1	varietas	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica oleracea
3719	7	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Capsella	Capsella bursa-pastoris
3721	1	subspecies	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Crambe	Crambe hispanica
3724	5	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Matthiola	Matthiola incana
3726	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Raphanus	Raphanus sativus
3728	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Sinapis	Sinapis alba
3732	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Diplotaxis	Diplotaxis erucoides
3735	6	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Moringaceae	Moringa	Moringa oleifera
3741	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Sapotaceae	Manilkara	Manilkara zapota
3755	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus dulcis
3760	20	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus persica
3765	35	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Rosa	Rosa x damascena
3767	10	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Pyrus	Pyrus pyrifolia
3806	13	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Bauhinia	Bauhinia purpurea
3809	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Acacia	Acacia confusa
3813	9	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Albizia	Albizia julibrissin
3818	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Arachis	Arachis hypogaea
3824	6	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Canavalia	Canavalia gladiata
3827	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Cicer	Cicer arietinum
3830	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria pallida
3834	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Cytisophyllum	Cytisophyllum sessilifolium
3835	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Cytisus	Cytisus scoparius
3843	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Erythrina	Erythrina corallodendron
3845	7	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Erythrina	Erythrina variegata
3847	13	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Glycine	Glycine max
3848	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Glycine	Glycine soja
3855	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	Lathyrus clymenum
3864	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lens	Lens culinaris
3866	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Leucaena	Leucaena leucocephala
3871	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lupinus	Lupinus angustifolius
3872	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lupinus	Lupinus arboreus
3873	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lupinus	Lupinus luteus
3874	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lupinus	Lupinus polyphyllus
3878	3	subspecies	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Medicago	Medicago sativa
3879	12	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Medicago	Medicago sativa
3880	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Medicago	Medicago truncatula
3884	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Phaseolus	Phaseolus lunatus
3885	7	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Phaseolus	Phaseolus vulgaris
3886	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Phaseolus	Phaseolus coccineus
3888	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	Lathyrus oleraceus
3893	93	varietas	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Pueraria	Pueraria montana
3897	12	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Styphnolobium	Styphnolobium japonicum
3899	5	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	Trifolium repens
3900	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	Trifolium subterraneum
3902	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Ulex	Ulex europaeus
3905	12	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	Vicia cracca
3906	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	Vicia faba
3908	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	Vicia sativa
3909	1	subspecies	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	Vicia sativa
3910	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	Vicia hirsuta
3914	10	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vigna	Vigna angularis
3915	22	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vigna	Vigna mungo
3916	20	varietas	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vigna	Vigna radiata
3917	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vigna	Vigna unguiculata
3918	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vigna	Vigna aconitifolia
3920	2	subspecies	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Vigna	Vigna unguiculata
3930	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Myrtales	Lythraceae	Cuphea	Cuphea lanceolata
