NC_000925	2787
NC_000926	55529
NC_000927	31312
NC_000932	3702
NC_001319	56867
NC_001320	39947
NC_001568	4177
NC_001603	3039
NC_001631	3350
NC_001666	4577
NC_001675	2762
NC_001713	1514140
NC_001799	383379
NC_001840	2771
NC_001865	3077
NC_001879	4097
NC_002186	41882
NC_002202	3562
NC_002652	3037
NC_002693	85636
NC_002694	34305
NC_002762	4565
NC_003119	3880
NC_003386	3240
NC_004115	96477
NC_004543	48387
NC_004561	33113
NC_004677	88728
NC_004766	13818
NC_004799	280699
NC_004823	5802
NC_004993	212734
NC_005086	13333
NC_005353	3055
NC_005878	193079
NC_005973	2998809
NC_006050	34301
NC_006084	717233
NC_006137	285951
NC_006290	4054
NC_006861	37429
NC_007144	3659
NC_007288	2903
NC_007407	4465
NC_007499	308872
NC_007500	4096
NC_007578	4236
NC_007602	4098
NC_007758	333668
NC_007898	4081
NC_007932	2788
NC_007942	3847
NC_007943	147425
NC_007944	3635
NC_007957	29760
NC_007977	4232
NC_008096	4113
NC_008097	55564
NC_008099	51324
NC_008100	145475
NC_008101	3088
NC_008114	160070
NC_008115	71271
NC_008116	102822
NC_008117	35869
NC_008155	39946
NC_008235	43335
NC_008289	70448
NC_008325	4039
NC_008326	3415
NC_008334	2711
NC_008335	4403
NC_008336	41776
NC_008359	248361
NC_008372	55999
NC_008407	126431
NC_008408	227086
NC_008454	4031
NC_008456	224735
NC_008457	398741
NC_008535	13443
NC_008588	2850
NC_008589	35128
NC_008590	112509
NC_008591	63632
NC_008602	4558
NC_008641	3634
NC_008788	77108
NC_008796	334596
NC_008822	3144
NC_008829	13825
NC_009143	3694
NC_009259	3885
NC_009265	434059
NC_009266	72657
NC_009267	74718
NC_009268	78191
NC_009269	50458
NC_009270	3719
NC_009271	78192
NC_009272	171822
NC_009273	59292
NC_009274	226051
NC_009275	65948
NC_009573	3034
NC_009598	13006
NC_009599	153571
NC_009600	145286
NC_009601	145284
NC_009618	54799
NC_009681	34116
NC_009765	35886
NC_009766	4129
NC_009808	4121
NC_009949	437280
NC_009950	4522
NC_009962	4428
NC_009963	476139
NC_010093	263995
NC_010109	4472
NC_010323	3649
NC_010358	3940
NC_010359	280810
NC_010360	482428
NC_010361	3942
NC_010362	482429
NC_010433	3983
NC_010442	28494
NC_010548	3369
NC_010601	4230
NC_010654	3377
NC_010772	2829
NC_010776	180217
NC_011031	55995
NC_011032	15368
NC_011152	3332
NC_011153	3339
NC_011154	71632
NC_011155	3342
NC_011156	3343
NC_011158	151562
NC_011159	71643
NC_011163	3827
NC_011600	109269
NC_011713	4606
NC_011828	3900
NC_011930	3324
NC_011942	33153
NC_011954	173280
NC_012052	38588
NC_012097	41880
NC_012099	36894
NC_012101	141716
NC_012224	180498
NC_012575	296587
NC_012615	93213
NC_012818	204586
NC_012898	44056
NC_012903	44058
NC_012927	58923
NC_012978	3074
NC_013086	88036
NC_013088	257763
NC_013273	4505
NC_013359	222885
NC_013498	2880
NC_013553	35935
NC_013703	2898
NC_013707	4146
NC_013823	4733
NC_013843	157791
NC_013991	42345
NC_014056	141207
NC_014057	3888
NC_014062	38684
NC_014063	3860
NC_014267	160619
NC_014287	59809
NC_014340	505693
NC_014345	348535
NC_014346	51328
NC_014348	104588
NC_014569	28960
NC_014570	71139
NC_014573	326026
NC_014575	3322
NC_014582	163694
NC_014589	64686
NC_014592	531291
NC_014674	60419
NC_014675	49763
NC_014676	3641
NC_014697	3760
NC_014699	3258
NC_014807	4312
NC_014808	637379
NC_014874	112168
NC_015083	337360
NC_015084	574566
NC_015113	40888
NC_015139	51351
NC_015204	34273
NC_015206	101020
NC_015308	3981
NC_015359	554065
NC_015401	158383
NC_015402	3143427
NC_015403	1519565
NC_015543	98722
NC_015604	129566
NC_015605	4431
NC_015608	497767
NC_015621	176616
NC_015623	158385
NC_015645	104533
NC_015803	548148
NC_015804	40916
NC_015817	38705
NC_015818	46379
NC_015820	145980
NC_015821	4043
NC_015826	886359
NC_015830	280850
NC_015831	591214
NC_015891	29656
NC_015892	86722
NC_015894	161126
NC_015899	161112
NC_015983	412675
NC_015990	38727
NC_015996	3767
NC_016058	71402
NC_016063	50179
NC_016064	71408
NC_016065	50187
NC_016068	118713
NC_016069	93926
NC_016430	82096
NC_016433	4182
NC_016468	472368
NC_016471	48534
NC_016668	29730
NC_016670	34276
NC_016677	196901
NC_016690	34277
NC_016692	76056
NC_016699	524874
NC_016703	33657
NC_016708	56065
NC_016711	34275
NC_016712	29729
NC_016718	110453
NC_016727	42043
NC_016728	39899
NC_016729	39875
NC_016730	37657
NC_016731	1436140
NC_016732	3046
NC_016733	3159
NC_016734	3708
NC_016735	49266
NC_016736	3988
NC_016753	4460
NC_016921	519533
NC_016927	40149
NC_017006	996148
NC_017602	51953
NC_017609	78828
NC_017754	73025
NC_017835	4529
NC_017894	34282
NC_018051	3917
NC_018109	47637
NC_018110	47635
NC_018111	47634
NC_018112	47636
NC_018113	3636
NC_018114	154679
NC_018117	4076
NC_018523	88149
NC_018541	100364
NC_018552	4072
NC_018565	414717
NC_018569	1208065
NC_018766	157670
NC_018767	538574
NC_019601	101007
NC_019602	101015
NC_019616	13750
NC_019628	304445
NC_019648	145835
NC_019649	98750
NC_019650	4608
NC_019651	4521
NC_020014	72520
NC_020018	304863
NC_020019	4442
