task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
26	7b/0766bd	1374138	BARBEQUE:AMPLICON_LENGTH (intron-region-of-a-transfer-RNA-gene-133-tnrl|refseq_plastid)	CACHED	0	2026-07-20 08:09:51.901	2.1s	122ms	96.3%	26.7 MB	1.2 GB	696.4 KB	142.2 KB
58	94/745160	1397534	BARBEQUE:CLUSTER_CONSENSUS (PCR_matK|refseq_plastid)	CACHED	0	2026-07-20 08:14:04.073	44.2s	42.4s	98.2%	2.2 GB	2.3 GB	623.6 MB	60.7 KB
55	38/fb2e94	1396957	BARBEQUE:JOIN_ACCESSION_TAXONOMY (PCR_psbA-trnH|refseq_plastid)	CACHED	0	2026-07-20 08:14:02.332	1.8s	70ms	48.8%	3.2 MB	6.8 MB	453.1 KB	127.3 KB
56	bd/dccb45	1397962	BARBEQUE:CLUSTER_CONSENSUS (PCR_rbcL|refseq_plastid)	CACHED	0	2026-07-20 08:14:04.221	47.6s	45.7s	98.3%	2.2 GB	2.3 GB	623.7 MB	16.7 MB
54	a9/00bfa1	1396963	BARBEQUE:JOIN_ACCESSION_TAXONOMY (intron-region-of-a-transfer-RNA-gene-133-tnrl|refseq_plastid)	CACHED	0	2026-07-20 08:14:02.339	1.8s	67ms	62.5%	3.3 MB	6.8 MB	499.7 KB	198.9 KB
57	c0/a7a1a5	1398041	BARBEQUE:CLUSTER_CONSENSUS (intron-region-of-a-transfer-RNA-gene-200-1000|refseq_plastid)	CACHED	0	2026-07-20 08:14:04.371	44.4s	42.7s	98.7%	2.2 GB	2.3 GB	623.8 MB	7.2 MB
60	26/d1d12b	1397890	BARBEQUE:CLUSTER_CONSENSUS (intron-region-of-a-transfer-RNA-gene-133-tnrl|refseq_plastid)	CACHED	0	2026-07-20 08:14:04.178	46s	44.3s	98.3%	2.2 GB	2.3 GB	623.8 MB	9.4 MB
59	02/a3e156	1397842	BARBEQUE:CLUSTER_CONSENSUS (PCR_psbA-trnH|refseq_plastid)	CACHED	0	2026-07-20 08:14:04.165	43.7s	42.1s	98.4%	2.2 GB	2.3 GB	623.7 MB	1.8 MB
62	fb/db8756	1406264	BARBEQUE:CUSTOM_DUMPSOFTWAREVERSIONS (1)	CACHED	0	2026-07-20 08:14:54.250	1.8s	188ms	63.4%	2.4 MB	9.7 MB	844.3 KB	3.8 KB
65	e9/7693c4	1406570	BARBEQUE:MULTIQC (6)	CACHED	0	2026-07-20 08:14:56.083	4.2s	2.6s	74.7%	72.1 MB	1.5 GB	54.6 MB	16.8 MB
67	b7/641858	1406569	BARBEQUE:MULTIQC (5)	CACHED	0	2026-07-20 08:14:56.078	4.2s	2.5s	72.9%	78.5 MB	1.5 GB	51.7 MB	16.8 MB
64	bd/610aa4	1406596	BARBEQUE:MULTIQC (3)	CACHED	0	2026-07-20 08:14:56.125	4.2s	2.6s	72.0%	78.1 MB	1.5 GB	53.2 MB	16.8 MB
63	a3/823e75	1406590	BARBEQUE:MULTIQC (7)	CACHED	0	2026-07-20 08:14:56.102	4.2s	2.5s	77.1%	78.8 MB	1.5 GB	51.1 MB	16.8 MB
68	56/8952b3	1406578	BARBEQUE:MULTIQC (1)	CACHED	0	2026-07-20 08:14:56.088	4.2s	2.5s	71.7%	78.6 MB	1.5 GB	51.7 MB	16.8 MB
66	32/a909cf	1406588	BARBEQUE:MULTIQC (2)	CACHED	0	2026-07-20 08:14:56.096	4.3s	2.5s	68.9%	76.9 MB	1.5 GB	51.7 MB	16.8 MB
69	9c/9202bd	1406581	BARBEQUE:MULTIQC (4)	CACHED	0	2026-07-20 08:14:56.092	4.3s	2.6s	75.5%	78.7 MB	1.5 GB	51.3 MB	16.8 MB
61	3a/28664b	1592481	INTERACTIVE_RESULTS:STREAMLIT (dashboard)	ABORTED	-	2026-07-20 13:47:54.456	-	-	-	-	-	-	-
