2708	16
2709	7
2711	50
3240	44
3258	16
3260	1
3262	11
3271	1
3277	4
3281	1
3285	1
3289	1
3300	13
3301	15
3302	12
3304	5
3305	6
3307	1
3311	29
3316	27
3317	7
3320	1
3322	4
3324	1
3326	9
3327	7
3329	1
3330	6
3331	1
3332	3
3333	6
3334	1
3335	8
3339	4
3340	1
3341	6
3342	2
3343	1
3345	3
3348	7
3349	10
3350	9
3351	1
3352	3
3355	5
3357	3
3359	11
3366	5
3369	5
3371	7
3377	3
3381	10
3382	20
3383	5
3388	1
3389	24
3390	2
3391	2
3396	39
3397	35
3403	1
3406	4
3407	2
3412	2
3415	3
3419	6
3420	1
3422	2
3423	1
3426	2
3429	22
3430	14
3431	14
3435	6
3436	4
3438	2
3442	5
3444	9
3447	15
3449	17
3451	10
3453	3
3454	3
3457	2
3460	7
3464	2
3467	5
3469	25
3472	2
3476	1
3477	2
3480	7
3483	67
3485	8
3486	30
3489	25
3490	18
3492	10
3494	84
3496	7
3498	199
3501	38
3505	50
3507	9
3508	9
3510	5
3512	5
3513	1
3516	11
3517	30
3518	2
3523	8
3527	76
3528	30
3530	51
3533	12
3535	1
3538	25
3541	21
3544	1
3548	11
3551	10
3552	6
3553	6
3557	1
3559	221
3560	10
3562	20
3565	48
3567	28
3570	8
3572	24
3575	25
3580	19
3583	10
3586	1
3589	5
3592	15
3595	1
3597	3
3605	1
3607	1
3610	17
3617	64
3619	7
3621	7
3625	21
3627	13
3631	24
3634	25
3635	83
3636	3
3638	29
3641	7
3645	3
3649	16
3652	18
3654	36
3656	54
3657	1
3658	1
3659	30
3661	8
3662	27
3663	32
3668	120
3670	53
3672	4
3673	26
3674	33
3677	56
3679	3
3685	7
3690	2
3691	14
3693	1
3694	3
3696	13
3702	28
3704	5
3707	34
3708	54
3710	37
3711	80
3712	27
3713	140
3714	3
3715	6
3716	9
3717	1
3719	78
3721	3
3724	7
3726	8
3728	24
3730	24
3732	6
3735	117
3741	23
3743	50
3747	22
3750	30
3751	20
3752	5
3755	29
3756	1
3758	12
3759	123
3760	58
3765	44
3767	57
3770	1
3772	1
3795	2
3797	3
3799	2
3802	4
3806	25
3809	12
3811	3
3813	19
3816	22
3818	12
3821	10
3823	3
3824	17
3825	49
3827	35
3829	5
3830	18
3832	7
3834	3
3835	5
3837	22
3842	4
3843	5
3844	3
3845	13
3847	56
3848	18
3850	2
3854	14
3855	5
3856	5
3857	3
3858	7
3859	4
3860	11
3861	6
3862	3
3864	19
3866	15
3868	4
3870	5
3871	8
3872	8
3873	9
3874	34
3878	27
3879	152
3880	10
3882	107
3884	343
3885	321
3886	23
3888	137
3890	2
3891	19
3893	133
3895	4
3897	25
3899	205
3900	8
3902	4
3905	65
3906	32
3907	2
3908	60
3909	37
3910	34
3911	25
3912	12
3914	31
3915	61
3916	28
3917	74
3918	35
3920	9
3922	14
3926	4
3930	4
3933	4
3937	5
3938	1
3940	1
3941	1
3942	27
3945	2
3947	1
3951	4
3953	4
3956	50
3960	2
3962	1
3965	2
3966	1
3969	2
3970	1
3972	6
3981	14
3983	35
3985	14
3986	79
3988	85
3991	18
3992	63
3993	40
3994	2
3996	10
4002	19
4006	19
4013	12
4016	3
4020	7
4023	59
4024	9
4025	28
4026	53
4029	1
4031	1
4032	5
4035	7
4039	36
4041	12
4043	15
4045	23
4047	63
4049	11
4052	24
4054	204
4058	26
4060	24
4066	6
4068	33
4072	105
4073	16
4075	43
4076	70
4079	47
4081	107
4082	11
4083	2
4084	2
4086	2
4087	3
4088	1
4089	1
4090	8
4091	2
4092	2
4093	2
4096	1
4097	40
4098	2
4100	30
4102	2
4103	57
4104	1
4108	1
4109	1
4110	1
4111	142
4112	99
4113	25
4114	4
4115	2
4116	1
4120	112
4121	68
4123	76
4124	2
4129	86
4132	1
4138	29
4142	2
4146	32
4151	13
4153	2
4155	6
4157	1
4159	2
4161	6
4162	1
4164	18
4166	5
4170	2
4172	2
4177	5
4179	4
4182	19
4184	2
4189	5
4191	1
4193	4
4195	1
4198	2
4202	16
4203	10
4205	4
4208	10
4212	31
4214	14
4217	143
4218	27
4220	72
4222	108
4224	6
4225	6
4226	21
4227	11
4228	4
4230	6
4232	15
4233	9
4234	4
4236	63
4238	3
4247	6
4249	8
4250	5
4252	7
4255	1
4263	2
4265	21
4270	3
4276	1
4278	1
4282	3
4283	5
4284	2
4285	2
4288	2
4292	7
4296	6
4297	5
4298	11
4299	1
4300	33
4307	24
4309	5
4312	51
4326	9
4330	1
4332	1
4337	44
4341	4
4344	1
4347	6
4349	11
4351	4
4355	7
4357	4
4359	6
4362	4
4364	1
4365	6
4366	5
4368	3
4369	3
4371	2
4373	110
4376	7
4378	5
4392	43
4396	16
4397	7
4400	6
4403	3
4407	69
4412	3
4414	35
4416	5
4419	13
4421	4
4424	12
4426	6
4428	22
4431	5
4432	77
4442	108
4443	36
4451	6
4452	5
4456	7
4458	2
4460	76
4465	146
4472	6
4477	3
4481	22
4483	2
4485	10
4486	6
4487	4
4491	11
4492	8
4493	4
4494	10
4497	6
4498	346
4499	82
4500	15
4502	14
4504	1
4505	28
4509	55
4511	39
4513	60
4515	21
4516	24
4517	24
4519	10
4521	72
4522	52
4524	4
4525	2
4528	4
4529	30
4530	57
4532	5
4533	3
4534	59
4535	10
4536	1
4537	30
4538	3
4540	221
4543	30
4545	51
4547	12
4550	13
4551	1
4552	7
4553	2
4555	45
4556	61
4558	35
4560	32
4563	6
4565	237
4567	30
4568	13
4569	5
4570	2
4571	15
4572	11
4573	15
4576	9
4577	85
4579	16
4580	8
4582	5
4584	2
4586	108
4588	15
4589	6
4591	2
4593	57
4595	6
4597	2
4601	4
4604	25
4606	43
4607	5
4608	42
4611	1
4621	3
4623	3
4625	3
4628	32
4629	13
4632	2
4634	2
4636	2
4639	6
4641	116
